==================================================
ABSTRACT REASONING - CLE DE REPONSES
100 Questions (A-E)
==================================================

Q  1: A
Q  2: A
Q  3: E
Q  4: C
Q  5: B
Q  6: D
Q  7: A
Q  8: C
Q  9: D
Q 10: E
Q 11: E
Q 12: A
Q 13: E
Q 14: D
Q 15: A
Q 16: C
Q 17: C
Q 18: A
Q 19: B
Q 20: A
Q 21: E
Q 22: C
Q 23: A
Q 24: B
Q 25: A
Q 26: B
Q 27: D
Q 28: E
Q 29: A
Q 30: C
Q 31: D
Q 32: A
Q 33: C
Q 34: E
Q 35: B
Q 36: D
Q 37: A
Q 38: C
Q 39: E
Q 40: B
Q 41: D
Q 42: A
Q 43: B
Q 44: E
Q 45: D
Q 46: C
Q 47: E
Q 48: C
Q 49: C
Q 50: B
Q 51: D
Q 52: B
Q 53: A
Q 54: C
Q 55: D
Q 56: E
Q 57: B
Q 58: E
Q 59: E
Q 60: C
Q 61: C
Q 62: D
Q 63: A
Q 64: E
Q 65: A
Q 66: E
Q 67: B
Q 68: E
Q 69: B
Q 70: B
Q 71: C
Q 72: E
Q 73: B
Q 74: A
Q 75: D
Q 76: D
Q 77: C
Q 78: C
Q 79: E
Q 80: C
Q 81: D
Q 82: A
Q 83: B
Q 84: E
Q 85: A
Q 86: D
Q 87: C
Q 88: E
Q 89: C
Q 90: E
Q 91: D
Q 92: C
Q 93: E
Q 94: E
Q 95: A
Q 96: B
Q 97: D
Q 98: A
Q 99: A
Q100: C
